# Dynamical information [code units]
#1:t #2:Dt #3:tcount #4:N #5:M #6:VR #7:N_c #8:r_c #9:r_max #10:Etot #11:KE #12:PE #13:Etot_int #14:Etot_bin #15:E_cenma #16:Eesc #17:Ebesc #18:Eintesc #19:Eoops #20:Etot+Eoops #21:r_h #22:rho_0 #23:rc_spitzer #24:v0_rms #25:rc_nb #26.DMse(MSUN) #27.DMrejuv(MSUN) #28.N_c_nb
0.00037672557 1.360905e-05 74 399129 0.86589771 1.0159045 45463.539 0.43527908 8.4100576 0.53410784 0.16524771 -0.32532134 0 -2.1373735 0 3.2978299 -0.46627495 0 0 0.53410784 0.92996154 1.5955143 0.27680837 0.71560584 0.36645443 0 0 27128.124
0.00039479749 1.8071923e-05 75 399082 0.86176493 1.0106628 46587.257 0.44374084 8.2358259 0.79148977 0.16141379 -0.31942165 0 -2.2132215 0 3.6289941 -0.46627495 0 0 0.79148977 0.93948329 1.4971908 0.28250397 0.70746903 0.38932578 0 0 31464.326
0.00040318816 8.3906669e-06 76 399057 0.85977833 1.0075898 47408.594 0.44847144 8.0269453 1.3492574 0.15941283 -0.31642406 0 -1.8713422 0 3.8438858 -0.46627495 0 0 1.3492574 0.94605485 1.4495484 0.28495156 0.70215291 0.38174138 0 0 29238.857
0.00041798818 1.4800025e-05 77 399013 0.85619185 1.0076855 45720.298 0.4514132 9.5703612 1.6618219 0.15724757 -0.3120965 0 -1.8586029 0 4.1486508 -0.47337702 0 0 1.6618219 0.94888634 1.3313463 0.29528756 0.69732457 0.39458263 0 0 30535.16
0.00043786212 1.987394e-05 78 398953 0.8511535 1.0105166 50795.693 0.45480736 8.102686 2.0930268 0.15522565 -0.30722039 0 -1.8479861 0 4.5666362 -0.47362862 0 0 2.0930268 0.95319586 1.4456386 0.28211106 0.69421546 0.38408073 0 0 30592.29
0.00045630435 1.844223e-05 79 398899 0.84684491 1.0075763 45645.867 0.45938016 7.3729174 2.4405375 0.15197111 -0.30165679 0 -1.8387897 0 4.902719 -0.47370622 0 0 2.4405375 0.95711878 1.2493847 0.30193906 0.69073537 0.40043529 0 0 30233.039
0.00047111455 1.4810202e-05 80 398859 0.84396617 1.0090212 47093.779 0.4653452 10.107552 2.7737687 0.15095108 -0.29920299 0 -1.830097 0 5.2258237 -0.47370622 0 0 2.7737687 0.96200543 1.1466642 0.31270676 0.68532994 0.4122322 0 0 32738.861
0.00049483229 2.3717741e-05 81 398800 0.8396877 1.0103854 46622.395 0.46464463 10.278107 3.1682131 0.14911908 -0.29517266 0 -1.8265176 0 5.6144906 -0.47370622 0 0 3.1682131 0.96564527 1.2250925 0.30124025 0.68240429 0.3985866 0 0 29430.653
0.00051936694 2.4534646e-05 82 398728 0.83575885 1.0120122 46952.584 0.46482918 7.6326328 3.6206594 0.14760517 -0.29170629 0 -1.8264098 0 6.0648765 -0.47370622 0 0 3.6206594 0.96830624 1.1528917 0.30986334 0.68093985 0.39815558 0 0 29507.865
0.00053811372 1.8746784e-05 83 398668 0.83253695 1.0108385 47386.199 0.47023284 7.7891077 3.8826626 0.14546732 -0.28781517 0 -1.8263538 0 6.3250717 -0.47370739 0 0 3.8826626 0.97326353 1.131985 0.31005954 0.6751647 0.40566288 0 0 30423.475
